,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19,Frame-20,Frame-21,Frame-22,Frame-23,Frame-24,Frame-25,Frame-26,Frame-27,Frame-28,Frame-29,Frame-30,Frame-31,Frame-32,Frame-33,Frame-34,Frame-35,Frame-36,Frame-37,Frame-38,Frame-39,Frame-40,Frame-41,Frame-42,Frame-43,Frame-44,Frame-45,Frame-46,Frame-47,Frame-48,Frame-49,Frame-50,Frame-51,Frame-52,Frame-53,Frame-54,Frame-55,Frame-56,Frame-57,Frame-58,Frame-59,Frame-60,Frame-61,Frame-62,Frame-63,Frame-64,Frame-65,Frame-66,Frame-67,Frame-68,Frame-69,Frame-70,Frame-71
MFCC-1,-558.92126,-556.3295,-555.7254,-556.56604,-557.9656,-558.6591,-558.46155,-557.5416,-558.72284,-559.7632,-559.2794,-559.2311,-559.0959,-554.17993,-504.7505,-459.94516,-415.93228,-393.87302,-406.05383,-431.5366,-471.79282,-535.0694,-336.81204,-124.98777,-54.87841,-47.711517,-20.75638,-76.43869,-251.51768,-520.49054,-558.7763,-536.42773,-471.8334,-485.61523,-555.5599,-536.1671,-445.73837,-384.92892,-372.74014,-342.92352,-266.17505,-179.91974,-149.54263,-164.02496,-190.4089,-249.39264,-219.25006,-150.43254,-103.49548,-58.95781,-41.915733,-59.969887,-23.998732,-20.225893,-55.688164,-149.15038,-227.28824,-273.90274,-311.14008,-340.14532,-377.14557,-353.1651,-352.59818,-428.3074,-504.33597,-526.67395,-545.3783,-553.45953,-555.9701,-557.1655,-556.03815
MFCC-2,12.301071,15.823961,16.679243,15.52095,13.551769,12.568691,12.853871,14.132124,12.4927435,11.026279,11.775557,11.829835,12.0015,16.951618,52.671368,69.838715,66.02536,66.15686,65.0699,68.466064,71.02405,35.16788,97.55051,84.48283,51.638943,10.895945,37.116264,54.770126,62.85515,28.183857,12.357573,38.35479,81.516754,74.796005,16.493073,40.840584,94.82988,94.38197,64.82877,23.952179,49.15818,47.91577,24.218517,11.714811,53.92608,47.17286,-2.9788866,28.857435,35.0409,29.036228,44.029373,68.26323,81.585205,81.9861,89.04463,97.00482,95.513016,104.986725,76.78273,6.087471,-34.51757,-16.24905,5.7909546,37.834557,51.774666,36.396507,24.975029,17.850552,15.943944,14.446934,16.272179
MFCC-3,11.9347105,15.064676,15.911697,14.831116,12.917937,11.939489,12.219679,13.426299,11.884604,10.428562,11.353537,11.37827,11.487394,12.7174225,-4.9768815,-25.601738,-37.700897,-44.858345,-42.520847,-34.916985,-14.283166,12.226896,-28.514399,-60.223286,-74.99831,-96.87327,-88.5679,-72.142,-45.21811,7.495299,11.589823,23.931541,5.9535446,12.330087,14.621416,31.831104,12.222757,-7.307911,-13.302143,-27.20679,-14.509617,-40.521854,-64.36437,-70.00183,-55.910088,-11.222683,-2.0979366,-10.481519,-61.889957,-128.53339,-155.44089,-136.6383,-110.4592,-94.584076,-80.01266,-58.977528,-40.114616,-20.196167,22.15475,29.208942,22.571781,17.393665,7.243293,-3.085242,-8.47382,-0.42277905,11.303091,12.959372,14.256754,13.234834,15.6159725
MFCC-4,11.3445425,13.921074,14.722565,13.731559,11.982067,11.042183,11.2539,12.332113,10.963913,9.515753,10.675273,10.684528,10.6812105,9.889254,-14.724618,-21.37434,-9.347414,-13.839296,-19.202831,-25.90773,-33.431305,-3.5407765,1.348732,0.22815129,-0.49929035,0.9955705,9.59843,14.558115,25.711042,25.697857,10.459125,8.2235365,-7.5829916,-5.0663733,12.050776,21.200191,15.593753,32.703995,44.437054,45.11618,47.504585,52.06662,59.39941,59.072933,55.59341,34.555565,22.233425,21.942879,29.418509,22.028406,-1.8973297,-0.5567203,5.645649,25.921867,39.049324,44.284462,50.482536,50.290413,14.075814,-5.898389,-26.7491,-26.040737,-24.272957,-27.88332,-18.680822,-9.563111,2.7335072,9.526319,12.199135,11.692347,14.626303
MFCC-5,10.559571,12.533581,13.221548,12.292674,10.873403,10.031839,10.059783,10.948662,9.83398,8.38714,9.776003,9.809465,9.644941,8.49168,7.447055,6.8801875,-10.49288,-20.731205,-21.084965,-18.898518,-14.196078,-3.58857,-27.799297,-66.80022,-77.532845,-83.26402,-86.78919,-85.34354,-71.29314,0.29780608,9.129151,-2.4898458,-4.852189,-5.138425,9.382825,10.222877,2.257061,-14.931036,-19.416348,-24.140324,-20.820652,-28.351013,-42.648537,-53.50882,-49.41147,-37.458015,-48.50541,-61.95849,-74.311554,-98.98516,-122.345924,-122.55983,-121.78079,-115.72609,-101.606125,-75.26222,-50.016716,-34.55819,9.407152,24.173092,16.203194,24.89622,28.05936,21.46297,6.2851663,8.190048,5.3603535,9.736247,10.416201,10.257349,13.418281
MFCC-6,9.617218,11.032613,11.522011,10.603782,9.695418,9.018421,8.73101,9.3770075,8.5849495,7.1412477,8.70054,8.800684,8.443642,6.5852113,10.179569,13.025072,16.237755,25.363451,29.336697,25.105347,15.799833,4.2728157,7.3185134,11.945956,5.0285773,-10.080297,-19.624294,-21.737934,-24.512388,-21.100748,7.738987,-6.2567377,-15.781745,-13.1226015,7.116653,-0.1169156,-22.40113,-25.560688,-24.306267,-24.09436,-27.109226,-24.331718,-18.407352,-14.975901,-5.586639,-3.8693,-1.6621304,-27.325006,-30.48085,-19.794964,-26.50413,-28.20683,-30.001545,-26.709444,-21.412952,-21.03304,-25.67033,-31.492186,-42.11687,-26.014725,-26.53461,-21.736954,-14.656672,-6.614402,13.563811,20.400404,13.834493,11.965822,9.167488,9.157104,12.091078
MFCC-7,8.560565,9.507059,9.720514,8.765147,8.495211,8.026661,7.3306184,7.702142,7.2714577,5.8558064,7.499429,7.6841044,7.135213,4.3308754,-4.1103945,-12.871225,-13.742147,-9.828222,-2.4260535,5.1091766,8.137234,8.066441,-23.041424,-54.31207,-67.01477,-64.28784,-62.67137,-57.30097,-47.41977,-10.617296,6.3663263,-5.0374756,-13.269485,-11.174109,5.4912934,-6.797969,-15.894543,-11.067855,-4.54851,-8.38143,-21.003115,-39.36029,-45.941402,-43.05316,-45.272377,-35.134476,-17.78418,-16.594393,-13.910888,-23.669249,-26.823698,-30.461376,-40.210716,-46.0645,-46.58124,-41.622772,-44.131172,-39.25753,-18.98067,-8.579421,-4.163288,-17.957245,-28.718899,-27.462141,3.78727,14.985132,17.808182,12.651417,8.226822,8.315838,10.7023735
MFCC-8,7.4351406,7.9949493,7.888502,6.879203,7.264113,7.0015087,5.8893185,5.987029,5.9112854,4.5804105,6.2248526,6.473161,5.7672977,3.442465,-5.2054024,-14.249802,-19.201332,-16.0773,-11.033907,-9.583366,-6.163811,4.814619,-30.635891,-34.15251,-24.097052,2.6229212,9.614534,11.729752,3.6337638,-0.64184666,5.0258813,-2.069792,-4.4222507,-4.3421955,4.450165,-7.9496064,-3.8750832,1.4996179,11.766017,16.60343,-3.2550225,-5.181861,-7.016058,-4.70136,-3.3796613,-9.970148,-12.37612,-10.539078,-7.499798,5.9345036,8.624649,5.499902,0.28963077,7.5737123,17.258923,18.590218,12.0119505,2.5549302,-11.622946,-9.179216,-0.08184838,1.3142499,0.0030076504,7.435705,6.311801,7.393651,12.710962,9.931298,7.105882,7.446826,9.266695
MFCC-9,6.285719,6.4972973,6.076499,5.041992,5.967388,5.855311,4.4220037,4.2786527,4.5039606,3.342125,4.92674,5.1881356,4.380968,3.8124375,2.8294816,9.454245,17.96622,21.478544,22.122917,19.00385,6.5913334,0.1497238,-14.170143,-14.180399,-7.2403812,0.19839574,-9.309812,-11.289484,-5.0974264,0.013387989,3.7005625,0.23162872,-9.240535,-6.944049,3.73207,-5.802185,-10.735154,-14.7661705,-15.346519,-12.641679,-37.36009,-38.45273,-31.295656,-27.104504,-30.793297,-29.339817,-13.136763,-21.766598,-22.335218,-9.461035,-7.6889505,-12.782818,-23.356653,-28.515797,-26.290375,-21.46616,-22.848492,-28.466047,-19.238289,-11.956016,2.6537085,8.502117,7.690774,11.849787,14.556578,5.8655367,3.4989011,5.3471217,5.44176,6.2660384,7.776478
MFCC-10,5.1532764,5.00556,4.325641,3.335649,4.5862675,4.5320587,2.9519162,2.6201062,3.0579553,2.1585584,3.6495514,3.8715656,3.0174599,3.8087673,1.4072971,-4.3428335,-5.144106,-7.041218,-8.996092,-7.2879586,0.06785709,-1.1337631,-11.228281,-8.006997,-3.5506513,-4.36329,-9.599494,-7.1376467,-7.979686,-6.3052497,2.3867373,0.80950904,-7.966341,-6.0140595,3.0361903,-3.4289575,-18.483028,-27.231531,-22.240557,-14.7588625,-40.129826,-54.853348,-65.63739,-63.42268,-66.02275,-38.928284,-9.451274,-16.933125,-21.366234,-19.68032,-24.082855,-29.429928,-29.292168,-21.91431,-14.183228,-9.564136,-14.695206,-25.76683,-32.114567,-30.624899,-13.621842,-9.990415,-6.9161143,0.37229234,5.914736,2.2413907,-1.6399629,2.0424314,3.2846165,4.6932983,6.233175
MFCC-11,4.0724688,3.5277982,2.6784945,1.8226104,3.1495364,3.0553632,1.528284,1.0601734,1.6112456,1.0498272,2.4299088,2.5882387,1.7228191,3.225913,-2.2297635,-9.084682,-10.881601,-9.899416,-8.903998,-9.002931,-7.9999123,0.062186755,1.0284985,1.9288918,-4.2492986,-4.456973,-8.416481,-3.7045467,11.984953,11.265718,1.127897,-0.246133,-0.14150292,0.20465825,2.1789558,-1.0527313,-6.0387754,2.1679318,2.841712,-5.231019,-24.840103,-16.712536,-5.4852304,-0.111519635,-6.8452697,-31.522867,-17.001514,-13.269117,-6.2834463,-3.6757417,-3.4588416,-9.795301,-12.071224,-4.4998274,4.6710205,13.183662,16.725267,5.3456306,-4.809842,-6.1398726,0.18481383,-8.788954,-14.2927475,-14.402043,-9.29785,-4.501767,0.074569315,1.5209742,1.0954272,2.91929,4.6713333
MFCC-12,3.069718,2.1004758,1.1821613,0.54219186,1.7376981,1.5351374,0.22666651,-0.34613067,0.23364247,0.042657033,1.2954243,1.4082463,0.5464919,2.9831915,4.1394715,5.4528236,3.7796545,1.781779,0.060579896,1.9188598,3.0382838,0.843622,-8.322996,-21.86922,-21.778503,-10.621288,-5.850459,4.6380005,20.177832,26.247852,0.01756335,-1.9214482,-5.358281,-3.2856703,1.1701343,1.7390991,2.1083717,-2.694878,-3.663809,-1.3094802,-20.317938,-34.91991,-40.936455,-40.800194,-44.779213,-13.684881,7.3879194,-5.125632,-16.110853,-29.193775,-23.422894,-28.472923,-28.538609,-26.281963,-21.128986,-14.342755,-6.796819,-3.426237,1.9176605,8.323277,17.930798,8.395407,3.5645444,1.291571,-6.949865,-4.101801,4.21136,2.347362,-0.53775495,1.3023851,3.162168
MFCC-13,2.162181,0.7810072,-0.11813825,-0.4903596,0.4566788,0.12877306,-0.8695361,-1.5473123,-0.9911464,-0.8352599,0.26453876,0.38268492,-0.46655512,2.4312577,9.637727,2.6056705,-5.1353765,-11.226193,-11.476196,-6.6995964,3.3918867,0.7556426,-12.242409,-2.7799938,0.8178683,0.56041443,-5.0643783,-8.131383,-4.2739916,-1.6091805,-0.8316642,-2.806081,-10.622102,-9.703151,0.17945632,3.1311588,-3.2738252,-8.786693,-10.913574,-7.4654264,-16.080671,-7.425916,3.351459,3.0939283,-0.28913507,-21.164711,-11.502688,-23.148096,-25.626175,-30.304821,-10.760328,-12.463928,-23.198605,-23.03542,-14.03458,-6.893202,0.32713366,3.1741743,0.6970465,-2.637044,8.75514,8.081096,8.247448,8.609098,6.2514124,3.2010598,4.9844046,1.9569627,-1.2692494,0.16355202,1.7944349
MFCC-14,1.3575307,-0.373837,-1.1916571,-1.282313,-0.6059253,-1.0243105,-1.6981282,-2.5106716,-1.9950478,-1.5666565,-0.65265274,-0.47337592,-1.2870479,0.10433942,1.6697626,-1.5608013,1.7236506,0.67730916,2.1503792,-0.62602115,-4.005669,0.79067343,-6.478344,-17.607113,-27.537294,-33.55787,-40.994804,-40.282936,-27.437784,-3.8368049,-1.338114,-2.1456358,-6.302948,-5.9662156,-0.5804171,1.669505,-5.662259,-8.209288,-7.3989034,0.46573704,-14.258506,-20.14614,-27.574696,-34.60371,-40.09246,-32.303078,-13.87096,-20.828934,-27.002026,-28.771578,2.9377394,4.5916567,-18.982338,-37.538433,-41.49814,-39.19261,-30.380337,-20.001976,-15.102573,-12.743136,-3.5383554,-2.7948942,-0.81785893,3.7906666,5.9057617,4.5162306,1.4402255,-0.5302794,-1.2042456,-0.39358586,0.6419147
MFCC-15,0.65464544,-1.331615,-2.0335383,-1.8597463,-1.4198945,-1.8623669,-2.2435114,-3.234829,-2.7519186,-2.1543694,-1.45293,-1.1802931,-1.9105504,-2.976647,-10.171397,-11.97715,-12.279348,-11.262146,-11.746906,-11.759309,-7.2126646,0.35733503,-7.4370627,-23.128231,-28.524788,-21.19443,-18.048649,-11.356834,2.9222145,14.016538,-1.4948692,-0.57345176,-1.1115286,0.549404,-0.9891072,-0.8709017,-8.637791,-12.685262,-17.732235,-10.486996,-10.143694,-7.799804,-9.254384,-14.355993,-17.689795,-14.664482,-5.1772585,-25.937868,-36.751976,-21.021595,13.577648,15.723707,-3.989367,-14.294219,-12.389327,-11.1847,-12.714844,-10.697819,-9.9568405,-1.2418659,-2.6945376,-13.328922,-18.207485,-17.17862,-7.314228,-2.5664651,-2.5937116,-3.485723,-0.8149371,-0.5313918,-0.26588178
MFCC-16,0.04499103,-2.0973105,-2.6685085,-2.26223,-2.026522,-2.4254212,-2.545456,-3.7520854,-3.286944,-2.6226273,-2.1380951,-1.7760679,-2.3597105,-3.9847374,-10.586826,-14.555267,-18.395985,-18.97019,-20.549467,-14.966696,-7.5858536,-2.0657463,-4.096927,-11.030399,-9.997889,-5.974097,-10.773252,-15.013299,-21.076927,-9.857565,-1.3843471,0.47531375,-1.001092,0.046459377,-1.1008669,-2.3305078,-8.031285,-7.9351654,-6.020245,-0.8030673,-5.7092505,-14.661709,-22.376316,-11.842777,-1.7744582,1.7774146,-5.3781834,-25.900606,-27.511806,-2.4542437,27.11494,23.58525,-3.519867,-16.457352,-17.831917,-15.343937,-11.567638,-3.28589,6.1083136,8.688742,7.26201,-0.3065784,-6.4579763,-10.381094,-11.935749,-5.7310185,-3.6715965,-4.6593785,-0.6316295,-0.57333684,-0.9546137
MFCC-17,-0.4853721,-2.70907,-3.1436381,-2.536623,-2.5197573,-2.831677,-2.6861732,-4.118007,-3.6638627,-3.0075493,-2.71314,-2.292448,-2.6778233,-2.624772,-1.6198274,0.54731107,3.806915,4.316852,-0.68713087,-2.7821088,-4.961134,-5.7501373,-27.162397,-26.69804,-19.23386,-17.085094,-21.946793,-24.374134,-23.31792,-13.583094,-1.1546295,0.22643489,-4.075274,-3.458881,-1.1321421,-3.4899879,-4.586183,-13.062008,-16.73124,-15.24197,-16.324211,-20.910416,-17.982956,6.1709476,9.415743,6.0832753,-1.286673,-6.998975,-10.785933,14.759694,24.94002,12.668098,-9.413544,-17.557915,-17.416927,-15.303276,-17.982632,-21.634499,-19.951347,-12.4015255,-2.5699565,-5.907487,-9.498608,-10.611467,-4.1785464,-0.8254069,-2.5102675,-3.622079,-0.9219552,-0.81655234,-1.4915619
MFCC-18,-0.9534931,-3.218903,-3.5128608,-2.7307162,-3.0027013,-3.2177,-2.760911,-4.3919115,-3.9555879,-3.340617,-3.1846936,-2.739482,-2.9158702,-1.639646,3.1573474,2.9788857,-2.6564674,0.1543321,1.9737775,-1.9233184,-3.966265,-7.5956445,-9.850643,-14.877588,-12.575401,-3.5607107,-4.091747,0.7559122,4.1463995,7.534359,-0.96710294,-0.7474277,-3.7638535,-3.0959682,-1.3612924,-5.6797523,-12.868323,-10.947618,-3.2116618,3.9272385,-7.6363254,-20.183033,-10.772923,20.575352,15.990887,20.35455,-1.3709631,19.630434,33.63086,53.40031,48.499763,31.27515,16.70399,2.0968742,-2.3259945,-4.503476,-9.63839,-10.96071,-12.522408,-6.3113065,5.260009,-1.2901388,-5.6096706,-4.111958,-0.8339522,0.83842325,-2.4042864,-2.1592367,-1.567954,-1.3770777,-1.9538313
MFCC-19,-1.3770365,-3.6684718,-3.820133,-2.8875515,-3.5401511,-3.672014,-2.8454423,-4.616747,-4.2124257,-3.632957,-3.5599585,-3.1074195,-3.1182091,-2.273548,-1.2098609,-2.3028023,-3.4171243,0.39760447,2.9098728,-3.963086,-7.8693438,-5.9110827,-1.5686643,-8.136953,-13.481301,-12.863986,-12.372948,-7.8552446,-8.243468,-2.4984012,-0.93910855,-1.4390929,-1.9686129,-0.9947753,-1.9911858,-7.618686,-15.882893,-13.563782,-10.842766,-1.5774635,4.9235654,12.499599,35.343838,56.673508,44.28202,23.293953,-13.128588,14.171359,34.575043,30.79637,4.98071,-11.846711,-3.0708814,-2.2606392,1.0792215,4.279927,0.3529991,-2.734259,-5.9370227,-7.2814217,-5.675809,-10.441239,-12.415955,-8.344494,-7.4516125,-6.346941,-4.850768,-2.315232,-2.207199,-2.1549368,-2.393856
MFCC-20,-1.7720444,-4.0723524,-4.088739,-3.0409136,-4.1300297,-4.194742,-2.9748874,-4.8073235,-4.4429264,-3.8687642,-3.84624,-3.383626,-3.3127236,-2.4579597,-5.452551,-3.525274,-2.7942767,-2.0494287,-0.2484886,-1.0196906,-3.3869772,-2.7233276,-20.241224,-28.192408,-31.117329,-27.58376,-23.68901,-15.686278,-6.343977,-9.934139,-1.1078527,-1.7465379,-2.7614715,-2.5569546,-3.0424175,-7.679508,-8.844818,-14.768806,-17.686237,-15.414781,-0.24302217,20.010796,40.019917,37.727955,19.221884,16.886763,-1.0632035,18.119537,34.16948,14.614416,-2.9479725,1.1649824,-6.7394266,-24.096664,-27.32095,-16.871418,-13.629771,-16.793085,-15.179961,-10.229048,-4.9580765,-11.012537,-16.849434,-18.419098,-11.797465,-12.05502,-7.7744975,-4.264047,-2.5226016,-2.927285,-2.8190298
